date,PMI,VIX_Open,VIX_High,VIX_Low,VIX_Close,SPX_Open,SPX_High,SPX_Low,SPX_Close
9/1/1985,49.9,NaN,NaN,NaN,NaN,187.82,189.1,179.45,182.08
10/1/1985,50.9,NaN,NaN,NaN,NaN,182.06,190.95,181.16,189.82
11/1/1985,52,NaN,NaN,NaN,NaN,189.81,204.5,189.37,202.17
12/1/1985,50.7,NaN,NaN,NaN,NaN,202.17,213.75,200.1,211.28
1/1/1986,51.2,NaN,NaN,NaN,NaN,212.3,214.57,202.6,211.78
2/1/1986,51,NaN,NaN,NaN,NaN,211.72,227.92,210.82,226.92
3/1/1986,51,NaN,NaN,NaN,NaN,226.92,243.8,222.18,238.9
4/1/1986,49.7,NaN,NaN,NaN,NaN,238.88,245.47,226.3,235.52
5/1/1986,53.4,NaN,NaN,NaN,NaN,235.51,250.4,232.26,247.35
6/1/1986,50.5,NaN,NaN,NaN,NaN,247.34,251.81,238.23,250.84
7/1/1986,48,NaN,NaN,NaN,NaN,250.67,255.2,233.07,236.12
8/1/1986,52.6,NaN,NaN,NaN,NaN,236.12,254.24,231.92,252.93
9/1/1986,52.4,NaN,NaN,NaN,NaN,252.93,254.13,228.08,231.32
10/1/1986,51.2,NaN,NaN,NaN,NaN,231.32,244.51,231.32,243.98
11/1/1986,51.2,NaN,NaN,NaN,NaN,243.97,249.22,235.51,249.22
12/1/1986,50.5,NaN,NaN,NaN,NaN,249.22,254.87,241.28,242.16
1/1/1987,54.9,NaN,NaN,NaN,NaN,242.17,280.96,242.17,274.08
2/1/1987,52.6,NaN,NaN,NaN,NaN,274.08,287.55,273.16,284.2
3/1/1987,55,NaN,NaN,NaN,NaN,284.17,302.72,282.3,291.7
4/1/1987,55.5,NaN,NaN,NaN,NaN,291.7,303.64,275.68,288.35
5/1/1987,57.2,NaN,NaN,NaN,NaN,288.35,298.69,277.02,290.1
6/1/1987,57.4,NaN,NaN,NaN,NaN,290.1,310.25,286.93,304
7/1/1987,57.5,NaN,NaN,NaN,NaN,304,318.85,302.54,318.66
8/1/1987,59.3,NaN,NaN,NaN,NaN,320.25,337.89,314.51,329.79
9/1/1987,60,NaN,NaN,NaN,NaN,329.81,332.18,308.56,321.83
10/1/1987,60.7,NaN,NaN,NaN,NaN,321.87,328.93,216.47,251.79
11/1/1987,58.8,NaN,NaN,NaN,NaN,251.79,257.21,225.76,230.31
12/1/1987,61,NaN,NaN,NaN,NaN,233.96,253.35,221.24,247.09
1/1/1988,57.5,NaN,NaN,NaN,NaN,247.1,261.77,240.17,257.07
2/1/1988,56.2,NaN,NaN,NaN,NaN,257.05,267.82,247.82,267.82
3/1/1988,54.6,NaN,NaN,NaN,NaN,267.83,272.64,256.07,258.89
4/1/1988,55.8,NaN,NaN,NaN,NaN,258.88,272.03,254.71,261.33
5/1/1988,55.5,NaN,NaN,NaN,NaN,261.33,263.7,248.85,262.14
6/1/1988,59.3,NaN,NaN,NaN,NaN,262.16,276.88,262.1,273.5
7/1/1988,58.2,NaN,NaN,NaN,NaN,273.51,276.36,262.48,272.01
8/1/1988,56,NaN,NaN,NaN,NaN,272.02,274.2,256.53,261.52
9/1/1988,54.5,NaN,NaN,NaN,NaN,261.52,274.87,256.98,271.91
10/1/1988,55.4,NaN,NaN,NaN,NaN,271.91,283.95,268.84,278.97
11/1/1988,55.6,NaN,NaN,NaN,NaN,278.97,280.37,262.85,273.69
12/1/1988,56,NaN,NaN,NaN,NaN,273.68,280.45,270.47,277.72
1/1/1989,54.7,NaN,NaN,NaN,NaN,277.72,297.51,273.81,297.48
2/1/1989,54.1,NaN,NaN,NaN,NaN,297.48,300.57,286.26,288.86
3/1/1989,51.5,NaN,NaN,NaN,NaN,288.86,299.99,286.46,294.87
4/1/1989,52.2,NaN,NaN,NaN,NaN,294.87,310.45,294.35,309.64
5/1/1989,49.3,NaN,NaN,NaN,NaN,309.64,323.06,304.06,320.52
6/1/1989,47.3,NaN,NaN,NaN,NaN,320.5,329.19,314.38,317.98
7/1/1989,45.9,NaN,NaN,NaN,NaN,317.98,346.08,317.26,346.08
8/1/1989,45.1,NaN,NaN,NaN,NaN,346.13,352.73,339,351.45
9/1/1989,46,NaN,NaN,NaN,NaN,351.45,354.13,341.37,349.15
10/1/1989,46.8,NaN,NaN,NaN,NaN,349.15,360.44,327.12,340.36
11/1/1989,46.8,NaN,NaN,NaN,NaN,340.37,346.5,330.91,345.99
12/1/1989,47.4,NaN,NaN,NaN,NaN,345.99,354.1,339.63,353.4
1/1/1990,47.2,18.19,27.25,18.19,25.36,353.39,360.59,319.83,329.08
2/1/1990,49.1,24.87,24.87,19.71,21.99,329.07,336.09,322.1,331.89
3/1/1990,49.9,21.9,22.74,17.62,19.73,331.86,344.49,331.08,339.94
4/1/1990,50,22.84,24.16,17.73,19.52,339.93,347.3,327.76,330.8
5/1/1990,49.5,18.43,20.14,16.72,17.37,330.8,362.26,330.8,361.23
6/1/1990,49.2,17.09,19.36,14.72,15.5,361.26,368.78,351.23,358.02
7/1/1990,46.6,16.26,23.68,15.63,21.11,358.02,369.78,350.09,356.15
