time,open,high,low,close,"UL, NYSE: Open","UL, NYSE: High","UL, NYSE: Low","UL, NYSE: Close","XOM, NYSE: Open","XOM, NYSE: High","XOM, NYSE: Low","XOM, NYSE: Close","HD, NYSE: Open","HD, NYSE: High","HD, NYSE: Low","HD, NYSE: Close","PG, NYSE: Open","PG, NYSE: High","PG, NYSE: Low","PG, NYSE: Close","UNH, NYSE: Open","UNH, NYSE: High","UNH, NYSE: Low","UNH, NYSE: Close","WMT, NYSE: Open","WMT, NYSE: High","WMT, NYSE: Low","WMT, NYSE: Close"
1986-11-03T14:30:00Z,4.359375,4.429688,4.046875,4.28125,3.000024,3.33336,3.000024,3.263915,8.53125,8.765625,8.375,8.65625,0.403306,0.433486,0.381358,0.414281,4.683657,4.885271,4.44327,4.823236,0.269531,0.277344,0.253906,0.257813,2.804688,2.984375,2.710938,2.976563
1986-12-01T14:30:00Z,4.242188,4.5,4.078125,4.101563,3.263915,3.666696,3.260443,3.666696,8.640625,9.265625,8.5,8.765625,0.411537,0.425255,0.392332,0.392332,4.823236,5.02485,4.691411,4.737937,0.257813,0.292969,0.25,0.261719,2.976563,3.09375,2.804688,2.90625
1987-01-01T14:30:00Z,4.101563,4.929688,4.101563,4.726563,3.666696,4.020866,3.569473,3.958365,8.84375,10.578125,8.84375,10.34375,0.392332,0.499332,0.392332,0.480127,4.761201,5.645202,4.761201,5.459097,0.261719,0.277344,0.203125,0.21875,2.914063,3.320313,2.914063,3.03125
1987-02-02T14:30:00Z,4.726563,5.53125,4.671875,5.390625,3.986143,4.326424,3.944476,4.277812,10.34375,10.625,9.53125,9.796875,0.480127,0.548716,0.480127,0.524024,5.459097,5.552149,5.241973,5.381553,0.21875,0.269531,0.21875,0.238281,3.03125,3.460938,3.023438,3.421875
1987-03-02T14:30:00Z,5.390625,5.90625,5.335938,5.53125,4.368091,4.750038,4.368091,4.666704,9.796875,11.125,9.75,10.71875,0.537742,0.674921,0.534998,0.636511,5.381553,5.92436,5.280745,5.707237,0.238281,0.28125,0.21875,0.246094,3.445313,3.773438,3.445313,3.59375
1987-04-01T14:30:00Z,5.53125,5.757813,5.195313,5.445313,4.618093,5.055596,4.604204,5.055596,10.71875,11.5,10.53125,10.828125,0.633767,0.66669,0.570665,0.633767,5.707237,6.102712,5.179938,5.257482,0.246094,0.25,0.140625,0.15625,3.578125,3.710938,3.289063,3.539063
1987-05-01T13:30:00Z,5.445313,5.648438,5.015625,5.375,5.055596,5.875047,5.03129,5.541711,10.796875,11.328125,10.65625,10.875,0.633767,0.74351,0.614562,0.73528,5.257482,5.99415,5.133412,5.67622,0.15625,0.214844,0.144531,0.175781,3.539063,3.671875,3.320313,3.65625
1987-06-01T13:30:00Z,5.375,5.953125,5.3125,5.742188,5.5556,6.194494,5.5556,6.041715,10.890625,11.78125,10.828125,11.65625,0.73528,0.8121,0.732536,0.740767,5.691728,6.164747,5.67622,6.079448,0.175781,0.21875,0.175781,0.207031,3.65625,4.367188,3.609375,4.226563
1987-07-01T13:30:00Z,5.742188,6.046875,5.570313,5.953125,6.041715,6.597275,5.902825,6.024354,11.65625,11.9375,11.34375,11.765625,0.738023,0.834048,0.713331,0.823074,6.048431,6.048431,5.629693,5.777027,0.207031,0.21875,0.171875,0.183594,4.226563,4.734375,4.117188,4.65625
1987-08-03T13:30:00Z,5.9375,6.585938,5.78125,6.234375,6.006993,6.38894,5.677129,5.816019,11.875,12.53125,11.84375,12.453125,0.823074,0.924587,0.817587,0.853253,5.769272,6.38187,5.660711,6.38187,0.183594,0.183594,0.140625,0.152344,4.65625,5.359375,4.59375,5.0625
